Date,value,value_classification
2022-06-03,10,Extreme Fear
2022-06-02,13,Extreme Fear
2022-06-01,17,Extreme Fear
2022-05-31,16,Extreme Fear
2022-05-30,10,Extreme Fear
2022-05-29,14,Extreme Fear
2022-05-28,13,Extreme Fear
2022-05-27,12,Extreme Fear
2022-05-26,12,Extreme Fear
2022-05-25,11,Extreme Fear
2022-05-24,12,Extreme Fear
2022-05-23,10,Extreme Fear
2022-05-22,14,Extreme Fear
2022-05-21,13,Extreme Fear
2022-05-20,13,Extreme Fear
2022-05-19,13,Extreme Fear
2022-05-18,12,Extreme Fear
2022-05-17,8,Extreme Fear
2022-05-16,14,Extreme Fear
2022-05-15,10,Extreme Fear
2022-05-14,9,Extreme Fear
2022-05-13,10,Extreme Fear
2022-05-12,12,Extreme Fear
2022-05-11,12,Extreme Fear
2022-05-10,10,Extreme Fear
2022-05-09,11,Extreme Fear
2022-05-08,18,Extreme Fear
2022-05-07,23,Extreme Fear
2022-05-06,22,Extreme Fear
2022-05-05,27,Fear
2022-05-04,21,Extreme Fear
2022-05-03,27,Fear
2022-05-02,28,Fear
2022-05-01,22,Extreme Fear
2022-04-30,20,Extreme Fear
2022-04-29,23,Extreme Fear
2022-04-28,24,Extreme Fear
2022-04-27,21,Extreme Fear
2022-04-26,27,Fear
2022-04-25,23,Extreme Fear
2022-04-24,24,Extreme Fear
2022-04-23,24,Extreme Fear
2022-04-22,26,Fear
2022-04-21,27,Fear
2022-04-20,27,Fear
2022-04-19,27,Fear
2022-04-18,24,Extreme Fear
2022-04-17,28,Fear
2022-04-16,28,Fear
2022-04-15,22,Extreme Fear
2022-04-14,28,Fear
2022-04-13,25,Extreme Fear
2022-04-12,20,Extreme Fear
2022-04-11,32,Fear
2022-04-10,34,Fear
2022-04-09,30,Fear
2022-04-08,37,Fear
2022-04-07,34,Fear
2022-04-06,48,Neutral
2022-04-05,53,Neutral
2022-04-04,52,Neutral
2022-04-03,48,Neutral
2022-04-02,52,Neutral
2022-04-01,50,Neutral
2022-03-31,52,Neutral
2022-03-30,55,Greed
2022-03-29,56,Greed
2022-03-28,60,Greed
2022-03-27,49,Neutral
2022-03-26,51,Neutral
2022-03-25,47,Neutral
2022-03-24,40,Fear
2022-03-23,31,Fear
2022-03-22,26,Fear
2022-03-21,30,Fear
2022-03-20,31,Fear
2022-03-19,28,Fear
2022-03-18,25,Extreme Fear
2022-03-17,27,Fear
2022-03-16,24,Extreme Fear
2022-03-15,21,Extreme Fear
2022-03-14,23,Extreme Fear
2022-03-13,21,Extreme Fear
2022-03-12,22,Extreme Fear
2022-03-11,22,Extreme Fear
2022-03-10,28,Fear
2022-03-09,22,Extreme Fear
2022-03-08,21,Extreme Fear
2022-03-07,23,Extreme Fear
2022-03-06,22,Extreme Fear
2022-03-05,22,Extreme Fear
2022-03-04,33,Fear
2022-03-03,39,Fear
2022-03-02,52,Neutral
2022-03-01,51,Neutral
2022-02-28,20,Extreme Fear
2022-02-27,26,Fear
2022-02-26,26,Fear
2022-02-25,27,Fear
2022-02-24,23,Extreme Fear
2022-02-23,25,Extreme Fear
2022-02-22,20,Extreme Fear
2022-02-21,25,Extreme Fear
2022-02-20,27,Fear
2022-02-19,25,Extreme Fear
2022-02-18,30,Fear
2022-02-17,52,Neutral
2022-02-16,51,Neutral
2022-02-15,46,Fear
2022-02-14,46,Fear
2022-02-13,44,Fear
2022-02-12,44,Fear
2022-02-11,50,Neutral
2022-02-10,50,Neutral
2022-02-09,54,Neutral
2022-02-08,48,Neutral
2022-02-07,45,Fear
2022-02-06,37,Fear
2022-02-05,33,Fear
2022-02-04,20,Extreme Fear
2022-02-03,20,Extreme Fear
2022-02-02,28,Fear
2022-02-01,26,Fear
2022-01-31,20,Extreme Fear
2022-01-30,29,Fear
2022-01-29,24,Extreme Fear
2022-01-28,24,Extreme Fear
2022-01-27,20,Extreme Fear
2022-01-26,23,Extreme Fear
2022-01-25,12,Extreme Fear
2022-01-24,13,Extreme Fear
2022-01-23,11,Extreme Fear
2022-01-22,13,Extreme Fear
2022-01-21,19,Extreme Fear
2022-01-20,24,Extreme Fear
2022-01-19,24,Extreme Fear
2022-01-18,24,Extreme Fear
2022-01-17,22,Extreme Fear
2022-01-16,21,Extreme Fear
2022-01-15,23,Extreme Fear
2022-01-14,21,Extreme Fear
2022-01-13,21,Extreme Fear
2022-01-12,22,Extreme Fear
2022-01-11,21,Extreme Fear
2022-01-10,23,Extreme Fear
2022-01-09,23,Extreme Fear
2022-01-08,10,Extreme Fear
2022-01-07,18,Extreme Fear
2022-01-06,15,Extreme Fear
2022-01-05,24,Extreme Fear
2022-01-04,23,Extreme Fear
2022-01-03,29,Fear
2022-01-02,29,Fear
2022-01-01,21,Extreme Fear
2021-12-31,28,Fear
2021-12-30,22,Extreme Fear
2021-12-29,27,Fear
2021-12-28,41,Fear
2021-12-27,40,Fear
2021-12-26,37,Fear
2021-12-25,39,Fear
2021-12-24,41,Fear
2021-12-23,34,Fear
2021-12-22,45,Fear
2021-12-21,27,Fear
2021-12-20,25,Extreme Fear
2021-12-19,29,Fear
2021-12-18,24,Extreme Fear
2021-12-17,23,Extreme Fear
2021-12-16,29,Fear
2021-12-15,28,Fear
2021-12-14,21,Extreme Fear
2021-12-13,28,Fear
2021-12-12,27,Fear
2021-12-11,16,Extreme Fear
2021-12-10,24,Extreme Fear
2021-12-09,29,Fear
2021-12-08,28,Fear
2021-12-07,25,Extreme Fear
2021-12-06,16,Extreme Fear
2021-12-05,18,Extreme Fear
2021-12-04,25,Extreme Fear
2021-12-03,31,Fear
2021-12-02,32,Fear
2021-12-01,34,Fear
2021-11-30,40,Fear
2021-11-29,33,Fear
2021-11-28,27,Fear
2021-11-27,21,Extreme Fear
2021-11-26,47,Neutral
2021-11-25,32,Fear
2021-11-24,42,Fear
2021-11-23,33,Fear
2021-11-22,50,Neutral
2021-11-21,49,Neutral
2021-11-20,43,Fear
2021-11-19,34,Fear
2021-11-18,54,Neutral
2021-11-17,52,Neutral
2021-11-16,71,Greed
2021-11-15,72,Greed
2021-11-14,74,Greed
2021-11-13,72,Greed
2021-11-12,74,Greed
2021-11-11,77,Extreme Greed
2021-11-10,75,Greed
2021-11-09,84,Extreme Greed
2021-11-08,75,Greed
2021-11-07,73,Greed
2021-11-06,71,Greed
2021-11-05,73,Greed
2021-11-04,73,Greed
2021-11-03,76,Extreme Greed
2021-11-02,73,Greed
2021-11-01,74,Greed
2021-10-31,74,Greed
2021-10-30,73,Greed
2021-10-29,70,Greed
2021-10-28,66,Greed
2021-10-27,73,Greed
2021-10-26,76,Extreme Greed
2021-10-25,72,Greed
2021-10-24,73,Greed
2021-10-23,74,Greed
2021-10-22,75,Greed
2021-10-21,84,Extreme Greed
2021-10-20,82,Extreme Greed
2021-10-19,75,Greed
2021-10-18,78,Extreme Greed
2021-10-17,79,Extreme Greed
2021-10-16,78,Extreme Greed
2021-10-15,71,Greed
2021-10-14,70,Greed
2021-10-13,70,Greed
2021-10-12,78,Extreme Greed
2021-10-11,71,Greed
2021-10-10,71,Greed
2021-10-09,72,Greed
2021-10-08,74,Greed
2021-10-07,76,Extreme Greed
2021-10-06,68,Greed
2021-10-05,59,Greed
2021-10-04,54,Neutral
2021-10-03,49,Neutral
2021-10-02,54,Neutral
2021-10-01,27,Fear
2021-09-30,20,Extreme Fear
2021-09-29,24,Extreme Fear
2021-09-28,25,Extreme Fear
2021-09-27,26,Fear
2021-09-26,27,Fear
2021-09-25,28,Fear
2021-09-24,33,Fear
2021-09-23,27,Fear
2021-09-22,21,Extreme Fear
2021-09-21,27,Fear
2021-09-20,50,Neutral
2021-09-19,53,Neutral
2021-09-18,50,Neutral
2021-09-17,48,Neutral
2021-09-16,53,Neutral
2021-09-15,49,Neutral
2021-09-14,30,Fear
2021-09-13,44,Fear
2021-09-12,32,Fear
2021-09-11,31,Fear
2021-09-10,46,Fear
2021-09-09,45,Fear
2021-09-08,47,Neutral
2021-09-07,79,Extreme Greed
2021-09-06,79,Extreme Greed
2021-09-05,73,Greed
2021-09-04,72,Greed
2021-09-03,74,Greed
2021-09-02,74,Greed
2021-09-01,71,Greed
2021-08-31,73,Greed
2021-08-30,73,Greed
2021-08-29,72,Greed
2021-08-28,78,Extreme Greed
2021-08-27,71,Greed
2021-08-26,75,Greed
2021-08-25,73,Greed
2021-08-24,79,Extreme Greed
2021-08-23,79,Extreme Greed
2021-08-22,76,Extreme Greed
2021-08-21,78,Extreme Greed
2021-08-20,70,Greed
2021-08-19,70,Greed
2021-08-18,73,Greed
2021-08-17,72,Greed
2021-08-16,72,Greed
2021-08-15,71,Greed
2021-08-14,76,Extreme Greed
2021-08-13,70,Greed
2021-08-12,70,Greed
2021-08-11,70,Greed
2021-08-10,71,Greed
2021-08-09,65,Greed
2021-08-08,74,Greed
2021-08-07,69,Greed
2021-08-06,52,Neutral
2021-08-05,50,Neutral
2021-08-04,42,Fear
2021-08-03,48,Neutral
2021-08-02,48,Neutral
2021-08-01,60,Greed
2021-07-31,60,Greed
2021-07-30,53,Neutral
2021-07-29,50,Neutral
2021-07-28,50,Neutral
2021-07-27,32,Fear
2021-07-26,26,Fear
2021-07-25,27,Fear
2021-07-24,22,Extreme Fear
2021-07-23,23,Extreme Fear
2021-07-22,21,Extreme Fear
2021-07-21,10,Extreme Fear
2021-07-20,19,Extreme Fear
2021-07-19,24,Extreme Fear
2021-07-18,19,Extreme Fear
2021-07-17,15,Extreme Fear
2021-07-16,22,Extreme Fear
2021-07-15,20,Extreme Fear
2021-07-14,21,Extreme Fear
2021-07-13,20,Extreme Fear
2021-07-12,25,Extreme Fear
2021-07-11,20,Extreme Fear
2021-07-10,20,Extreme Fear
2021-07-09,20,Extreme Fear
2021-07-08,20,Extreme Fear
2021-07-07,28,Fear
2021-07-06,20,Extreme Fear
2021-07-05,29,Fear
2021-07-04,27,Fear
2021-07-03,24,Extreme Fear
2021-07-02,21,Extreme Fear
2021-07-01,28,Fear
2021-06-30,28,Fear
2021-06-29,25,Extreme Fear
2021-06-28,25,Extreme Fear
2021-06-27,22,Extreme Fear
2021-06-26,20,Extreme Fear
2021-06-25,27,Fear
2021-06-24,22,Extreme Fear
2021-06-23,14,Extreme Fear
2021-06-22,10,Extreme Fear
2021-06-21,23,Extreme Fear
2021-06-20,21,Extreme Fear
2021-06-19,23,Extreme Fear
2021-06-18,25,Extreme Fear
2021-06-17,26,Fear
2021-06-16,33,Fear
2021-06-15,38,Fear
2021-06-14,28,Fear
2021-06-13,23,Extreme Fear
2021-06-12,28,Fear
2021-06-11,21,Extreme Fear
2021-06-10,21,Extreme Fear
2021-06-09,14,Extreme Fear
2021-06-08,13,Extreme Fear
2021-06-07,15,Extreme Fear
2021-06-06,17,Extreme Fear
2021-06-05,24,Extreme Fear
2021-06-04,27,Fear
2021-06-03,24,Extreme Fear
2021-06-02,23,Extreme Fear
2021-06-01,20,Extreme Fear
2021-05-31,18,Extreme Fear
2021-05-30,10,Extreme Fear
2021-05-29,18,Extreme Fear
2021-05-28,21,Extreme Fear
2021-05-27,27,Fear
2021-05-26,22,Extreme Fear
2021-05-25,22,Extreme Fear
2021-05-24,10,Extreme Fear
2021-05-23,14,Extreme Fear
2021-05-22,12,Extreme Fear
2021-05-21,19,Extreme Fear
2021-05-20,11,Extreme Fear
2021-05-19,23,Extreme Fear
2021-05-18,21,Extreme Fear
2021-05-17,27,Fear
2021-05-16,20,Extreme Fear
2021-05-15,27,Fear
2021-05-14,26,Fear
2021-05-13,31,Fear
2021-05-12,68,Greed
2021-05-11,61,Greed
2021-05-10,72,Greed
2021-05-09,73,Greed
2021-05-08,67,Greed
2021-05-07,64,Greed
2021-05-06,65,Greed
2021-05-05,48,Neutral
2021-05-04,68,Greed
2021-05-03,61,Greed
2021-05-02,66,Greed
2021-05-01,68,Greed
2021-04-30,51,Neutral
2021-04-29,52,Neutral
2021-04-28,59,Greed
2021-04-27,50,Neutral
2021-04-26,27,Fear
2021-04-25,31,Fear
2021-04-24,37,Fear
2021-04-23,55,Greed
2021-04-22,65,Greed
2021-04-21,73,Greed
2021-04-20,73,Greed
2021-04-19,74,Greed
2021-04-18,79,Extreme Greed
2021-04-17,76,Extreme Greed
2021-04-16,78,Extreme Greed
2021-04-15,79,Extreme Greed
2021-04-14,75,Greed
2021-04-13,74,Greed
2021-04-12,74,Greed
2021-04-11,76,Extreme Greed
2021-04-10,70,Greed
2021-04-09,70,Greed
2021-04-08,73,Greed
2021-04-07,72,Greed
2021-04-06,75,Greed
2021-04-05,71,Greed
2021-04-04,74,Greed
2021-04-03,73,Greed
2021-04-02,74,Greed
2021-04-01,74,Greed
2021-03-31,76,Extreme Greed
2021-03-30,72,Greed
2021-03-29,72,Greed
2021-03-28,74,Greed
2021-03-27,65,Greed
2021-03-26,54,Neutral
2021-03-25,60,Greed
2021-03-24,65,Greed
2021-03-23,66,Greed
2021-03-22,70,Greed
2021-03-21,73,Greed
2021-03-20,75,Greed
2021-03-19,71,Greed
2021-03-18,72,Greed
2021-03-17,71,Greed
2021-03-16,71,Greed
2021-03-15,76,Extreme Greed
2021-03-14,78,Extreme Greed
2021-03-13,74,Greed
2021-03-12,70,Greed
2021-03-11,73,Greed
2021-03-10,68,Greed
2021-03-09,81,Extreme Greed
2021-03-08,81,Extreme Greed
2021-03-07,76,Extreme Greed
2021-03-06,77,Extreme Greed
2021-03-05,77,Extreme Greed
2021-03-04,84,Extreme Greed
2021-03-03,78,Extreme Greed
2021-03-02,78,Extreme Greed
2021-03-01,38,Fear
2021-02-28,55,Greed
2021-02-27,56,Greed
2021-02-26,55,Greed
2021-02-25,79,Extreme Greed
2021-02-24,76,Extreme Greed
2021-02-23,94,Extreme Greed
2021-02-22,94,Extreme Greed
2021-02-21,91,Extreme Greed
2021-02-20,91,Extreme Greed
2021-02-19,93,Extreme Greed
2021-02-18,91,Extreme Greed
2021-02-17,95,Extreme Greed
2021-02-16,95,Extreme Greed
2021-02-15,93,Extreme Greed
2021-02-14,95,Extreme Greed
2021-02-13,92,Extreme Greed
2021-02-12,92,Extreme Greed
2021-02-11,93,Extreme Greed
2021-02-10,92,Extreme Greed
2021-02-09,95,Extreme Greed
2021-02-08,83,Extreme Greed
2021-02-07,86,Extreme Greed
2021-02-06,84,Extreme Greed
2021-02-05,81,Extreme Greed
2021-02-04,80,Extreme Greed
2021-02-03,78,Extreme Greed
2021-02-02,76,Extreme Greed
2021-02-01,77,Extreme Greed
2021-01-31,78,Extreme Greed
2021-01-30,76,Extreme Greed
2021-01-29,77,Extreme Greed
2021-01-28,55,Greed
2021-01-27,78,Extreme Greed
2021-01-26,71,Greed
2021-01-25,74,Greed
2021-01-24,70,Greed
2021-01-23,74,Greed
2021-01-22,40,Fear
2021-01-21,75,Greed
2021-01-20,78,Extreme Greed
2021-01-19,80,Extreme Greed
2021-01-18,79,Extreme Greed
2021-01-17,79,Extreme Greed
2021-01-16,84,Extreme Greed
2021-01-15,88,Extreme Greed
2021-01-14,83,Extreme Greed
2021-01-13,78,Extreme Greed
2021-01-12,84,Extreme Greed
2021-01-11,90,Extreme Greed
2021-01-10,94,Extreme Greed
2021-01-09,93,Extreme Greed
2021-01-08,93,Extreme Greed
2021-01-07,91,Extreme Greed
2021-01-06,95,Extreme Greed
2021-01-05,93,Extreme Greed
2021-01-04,94,Extreme Greed
2021-01-03,93,Extreme Greed
2021-01-02,94,Extreme Greed
2021-01-01,94,Extreme Greed
2020-12-31,95,Extreme Greed
2020-12-30,91,Extreme Greed
2020-12-29,91,Extreme Greed
2020-12-28,92,Extreme Greed
2020-12-27,91,Extreme Greed
2020-12-26,93,Extreme Greed
2020-12-25,94,Extreme Greed
2020-12-24,86,Extreme Greed
2020-12-23,93,Extreme Greed
2020-12-22,88,Extreme Greed
2020-12-21,92,Extreme Greed
2020-12-20,92,Extreme Greed
2020-12-19,93,Extreme Greed
2020-12-18,95,Extreme Greed
2020-12-17,92,Extreme Greed
2020-12-16,92,Extreme Greed
2020-12-15,91,Extreme Greed
2020-12-14,95,Extreme Greed
2020-12-13,91,Extreme Greed
2020-12-12,90,Extreme Greed
2020-12-11,89,Extreme Greed
2020-12-10,94,Extreme Greed
2020-12-09,86,Extreme Greed
2020-12-08,95,Extreme Greed
2020-12-07,94,Extreme Greed
2020-12-06,95,Extreme Greed
2020-12-05,93,Extreme Greed
2020-12-04,92,Extreme Greed
2020-12-03,92,Extreme Greed
2020-12-02,92,Extreme Greed
2020-12-01,95,Extreme Greed
2020-11-30,88,Extreme Greed
2020-11-29,89,Extreme Greed
2020-11-28,87,Extreme Greed
2020-11-27,86,Extreme Greed
2020-11-26,93,Extreme Greed
2020-11-25,94,Extreme Greed
2020-11-24,88,Extreme Greed
2020-11-23,90,Extreme Greed
2020-11-22,94,Extreme Greed
2020-11-21,91,Extreme Greed
2020-11-20,86,Extreme Greed
2020-11-19,94,Extreme Greed
2020-11-18,91,Extreme Greed
2020-11-17,86,Extreme Greed
2020-11-16,90,Extreme Greed
2020-11-15,86,Extreme Greed
2020-11-14,90,Extreme Greed
2020-11-13,89,Extreme Greed
2020-11-12,87,Extreme Greed
2020-11-11,86,Extreme Greed
2020-11-10,90,Extreme Greed
2020-11-09,90,Extreme Greed
2020-11-08,82,Extreme Greed
2020-11-07,88,Extreme Greed
2020-11-06,90,Extreme Greed
2020-11-05,72,Greed
2020-11-04,74,Greed
2020-11-03,71,Greed
2020-11-02,71,Greed
2020-11-01,72,Greed
2020-10-31,73,Greed
2020-10-30,74,Greed
2020-10-29,67,Greed
2020-10-28,70,Greed
2020-10-27,61,Greed
2020-10-26,75,Greed
2020-10-25,76,Extreme Greed
2020-10-24,73,Greed
2020-10-23,74,Greed
2020-10-22,73,Greed
2020-10-21,61,Greed
2020-10-20,56,Greed
2020-10-19,55,Greed
2020-10-18,55,Greed
2020-10-17,56,Greed
2020-10-16,52,Neutral
2020-10-15,56,Greed
2020-10-14,53,Neutral
2020-10-13,56,Greed
2020-10-12,52,Neutral
2020-10-11,55,Greed
2020-10-10,53,Neutral
2020-10-09,48,Neutral
2020-10-08,46,Fear
2020-10-07,43,Fear
2020-10-06,47,Neutral
2020-10-05,42,Fear
2020-10-04,42,Fear
2020-10-03,40,Fear
2020-10-02,41,Fear
2020-10-01,45,Fear
2020-09-30,49,Neutral
2020-09-29,45,Fear
2020-09-28,43,Fear
2020-09-27,47,Neutral
2020-09-26,45,Fear
2020-09-25,46,Fear
2020-09-24,39,Fear
2020-09-23,43,Fear
2020-09-22,39,Fear
2020-09-21,48,Neutral
2020-09-20,52,Neutral
2020-09-19,48,Neutral
2020-09-18,49,Neutral
2020-09-17,48,Neutral
2020-09-16,43,Fear
2020-09-15,47,Neutral
2020-09-14,39,Fear
2020-09-13,38,Fear
2020-09-12,41,Fear
2020-09-11,41,Fear
2020-09-10,38,Fear
2020-09-09,38,Fear
2020-09-08,41,Fear
2020-09-07,41,Fear
2020-09-06,41,Fear
2020-09-05,41,Fear
2020-09-04,40,Fear
2020-09-03,79,Extreme Greed
2020-09-02,83,Extreme Greed
2020-09-01,75,Greed
2020-08-31,75,Greed
2020-08-30,75,Greed
2020-08-29,79,Extreme Greed
2020-08-28,74,Greed
2020-08-27,75,Greed
2020-08-26,76,Extreme Greed
2020-08-25,75,Greed
2020-08-24,78,Extreme Greed
2020-08-23,76,Extreme Greed
2020-08-22,78,Extreme Greed
2020-08-21,81,Extreme Greed
2020-08-20,75,Greed
2020-08-19,80,Extreme Greed
2020-08-18,82,Extreme Greed
2020-08-17,83,Extreme Greed
2020-08-16,82,Extreme Greed
2020-08-15,79,Extreme Greed
2020-08-14,78,Extreme Greed
2020-08-13,75,Greed
2020-08-12,75,Greed
2020-08-11,84,Extreme Greed
2020-08-10,78,Extreme Greed
2020-08-09,79,Extreme Greed
2020-08-08,77,Extreme Greed
2020-08-07,77,Extreme Greed
2020-08-06,79,Extreme Greed
2020-08-05,75,Greed
2020-08-04,72,Greed
2020-08-03,75,Greed
2020-08-02,80,Extreme Greed
2020-08-01,75,Greed
2020-07-31,75,Greed
2020-07-30,76,Extreme Greed
2020-07-29,71,Greed
2020-07-28,76,Extreme Greed
2020-07-27,58,Greed
2020-07-26,55,Greed
2020-07-25,55,Greed
2020-07-24,53,Neutral
2020-07-23,55,Greed
2020-07-22,50,Neutral
2020-07-21,44,Fear
2020-07-20,44,Fear
2020-07-19,41,Fear
2020-07-18,44,Fear
2020-07-17,41,Fear
2020-07-16,43,Fear
2020-07-15,44,Fear
2020-07-14,43,Fear
2020-07-13,43,Fear
2020-07-12,41,Fear
2020-07-11,44,Fear
2020-07-10,41,Fear
2020-07-09,44,Fear
2020-07-08,44,Fear
2020-07-07,43,Fear
2020-07-06,40,Fear
2020-07-05,38,Fear
2020-07-04,40,Fear
2020-07-03,41,Fear
2020-07-02,42,Fear
2020-07-01,42,Fear
2020-06-30,44,Fear
2020-06-29,41,Fear
2020-06-28,40,Fear
2020-06-27,43,Fear
2020-06-26,40,Fear
2020-06-25,43,Fear
2020-06-24,50,Neutral
2020-06-23,41,Fear
2020-06-22,38,Fear
2020-06-21,37,Fear
2020-06-20,38,Fear
2020-06-19,39,Fear
2020-06-18,40,Fear
2020-06-17,38,Fear
2020-06-16,39,Fear
2020-06-15,37,Fear
2020-06-14,40,Fear
2020-06-13,38,Fear
2020-06-12,38,Fear
2020-06-11,52,Neutral
2020-06-10,54,Neutral
2020-06-09,52,Neutral
2020-06-08,53,Neutral
2020-06-07,54,Neutral
2020-06-06,54,Neutral
2020-06-05,53,Neutral
2020-06-04,54,Neutral
2020-06-03,48,Neutral
2020-06-02,56,Greed
2020-06-01,50,Neutral
2020-05-31,51,Neutral
2020-05-30,48,Neutral
2020-05-29,48,Neutral
2020-05-28,41,Fear
2020-05-27,39,Fear
2020-05-26,39,Fear
2020-05-25,41,Fear
2020-05-24,43,Fear
2020-05-23,40,Fear
2020-05-22,42,Fear
2020-05-21,49,Neutral
2020-05-20,52,Neutral
2020-05-19,50,Neutral
2020-05-18,50,Neutral
2020-05-17,40,Fear
2020-05-16,41,Fear
2020-05-15,44,Fear
2020-05-14,40,Fear
2020-05-13,41,Fear
2020-05-12,39,Fear
2020-05-11,40,Fear
2020-05-10,48,Neutral
2020-05-09,56,Greed
2020-05-08,55,Greed
2020-05-07,49,Neutral
2020-05-06,42,Fear
2020-05-05,40,Fear
2020-05-04,44,Fear
2020-05-03,45,Fear
2020-05-02,40,Fear
2020-05-01,40,Fear
2020-04-30,44,Fear
2020-04-29,26,Fear
2020-04-28,26,Fear
2020-04-27,28,Fear
2020-04-26,21,Extreme Fear
2020-04-25,24,Extreme Fear
